config,workload,rep,seconds
base2x,decomp,1,0.1591
oracle,comp,1,0.4184
base,comp,1,0.3983
base2x,comp,1,0.4001
base,decomp,1,0.1602
oracle,decomp,1,0.1559
base,decomp,2,0.1563
base2x,decomp,2,0.1607
base2x,comp,2,0.4151
oracle,decomp,2,0.1612
oracle,comp,2,0.3896
base,comp,2,0.4043
oracle,decomp,3,0.1561
base2x,decomp,3,0.1606
oracle,comp,3,0.4171
base,comp,3,0.3975
base2x,comp,3,0.3971
base,decomp,3,0.1601
oracle,decomp,4,0.1575
base2x,decomp,4,0.1610
oracle,comp,4,0.4162
base,comp,4,0.4213
base2x,comp,4,0.4175
base,decomp,4,0.1603
base,comp,5,0.4132
oracle,decomp,5,0.1618
base2x,decomp,5,0.1605
base,decomp,5,0.1597
base2x,comp,5,0.4164
oracle,comp,5,0.3906
base2x,comp,6,0.3943
base,decomp,6,0.1613
base,comp,6,0.3961
oracle,decomp,6,0.1517
base2x,decomp,6,0.1554
oracle,comp,6,0.4166
base2x,comp,7,0.4017
base2x,decomp,7,0.1514
oracle,comp,7,0.3897
base,decomp,7,0.1596
oracle,decomp,7,0.1599
base,comp,7,0.4195
oracle,comp,8,0.4186
base2x,decomp,8,0.1629
base,comp,8,0.4055
base,decomp,8,0.1598
oracle,decomp,8,0.1519
base2x,comp,8,0.4192
base,comp,9,0.4034
base2x,comp,9,0.4175
oracle,comp,9,0.4171
base2x,decomp,9,0.1600
base,decomp,9,0.1572
oracle,decomp,9,0.1596
base,decomp,10,0.1563
base,comp,10,0.4193
base2x,comp,10,0.3939
oracle,comp,10,0.3966
base2x,decomp,10,0.1624
oracle,decomp,10,0.1604
base2x,comp,11,0.4090
oracle,decomp,11,0.1575
base2x,decomp,11,0.1568
oracle,comp,11,0.3899
base,comp,11,0.4077
base,decomp,11,0.1603
oracle,comp,12,0.3943
oracle,decomp,12,0.1589
base2x,comp,12,0.4193
base,comp,12,0.3996
base,decomp,12,0.1605
base2x,decomp,12,0.1631
oracle,comp,13,0.4087
base,comp,13,0.4211
base2x,comp,13,0.4182
base2x,decomp,13,0.1584
base,decomp,13,0.1589
oracle,decomp,13,0.1607
base,comp,14,0.4199
base2x,comp,14,0.4176
base,decomp,14,0.1604
oracle,comp,14,0.4146
base2x,decomp,14,0.1652
oracle,decomp,14,0.1605
base2x,decomp,15,0.1561
base,decomp,15,0.1595
base,comp,15,0.3949
oracle,comp,15,0.3963
base2x,comp,15,0.3923
oracle,decomp,15,0.1546
oracle,comp,16,0.3960
oracle,decomp,16,0.1618
base2x,comp,16,0.4170
base,decomp,16,0.1524
base2x,decomp,16,0.1614
base,comp,16,0.3878
base,decomp,17,0.1623
base,comp,17,0.4194
base2x,comp,17,0.4148
oracle,decomp,17,0.1574
oracle,comp,17,0.3949
base2x,decomp,17,0.1596
base2x,comp,18,0.4077
base2x,decomp,18,0.1595
oracle,comp,18,0.3885
oracle,decomp,18,0.1615
base,comp,18,0.4158
base,decomp,18,0.1579
oracle,comp,19,0.4219
oracle,decomp,19,0.1591
base2x,comp,19,0.4195
base2x,decomp,19,0.1592
base,comp,19,0.4209
base,decomp,19,0.1641
oracle,comp,20,0.4068
base,comp,20,0.4168
base2x,decomp,20,0.1516
base2x,comp,20,0.4149
base,decomp,20,0.1578
oracle,decomp,20,0.1615
base2x,decomp,21,0.1650
base,decomp,21,0.1596
base,comp,21,0.4169
oracle,decomp,21,0.1629
base2x,comp,21,0.4153
oracle,comp,21,0.4132
base2x,comp,22,0.4233
oracle,comp,22,0.4046
base,comp,22,0.4203
base2x,decomp,22,0.1601
oracle,decomp,22,0.1610
base,decomp,22,0.1583
oracle,comp,23,0.4152
oracle,decomp,23,0.1596
base,decomp,23,0.1618
base,comp,23,0.3911
base2x,comp,23,0.4164
base2x,decomp,23,0.1575
base2x,comp,24,0.3976
base,comp,24,0.4166
oracle,comp,24,0.4143
base,decomp,24,0.1498
base2x,decomp,24,0.1551
oracle,decomp,24,0.1598
base,comp,25,0.3887
oracle,comp,25,0.3870
oracle,decomp,25,0.1503
base2x,comp,25,0.4191
base2x,decomp,25,0.1617
base,decomp,25,0.1619
base2x,decomp,26,0.1557
base,decomp,26,0.1516
base2x,comp,26,0.3885
base,comp,26,0.4196
oracle,comp,26,0.3878
oracle,decomp,26,0.1492
base,comp,27,0.4213
base2x,comp,27,0.4007
oracle,decomp,27,0.1622
oracle,comp,27,0.3887
base2x,decomp,27,0.1532
base,decomp,27,0.1512
base2x,comp,28,0.4194
oracle,comp,28,0.4134
oracle,decomp,28,0.1540
base2x,decomp,28,0.1483
base,comp,28,0.4019
base,decomp,28,0.1594
oracle,comp,29,0.4168
base2x,comp,29,0.4017
base,decomp,29,0.1501
oracle,decomp,29,0.1485
base,comp,29,0.4206
base2x,decomp,29,0.1528
oracle,decomp,30,0.1585
base,decomp,30,0.1598
base2x,decomp,30,0.1586
base2x,comp,30,0.4190
base,comp,30,0.4213
oracle,comp,30,0.3911
