spec,config,size_mb,traps_in,traps_final,bin_bytes,text_bytes,clang_s,oracle_s,o3_s,backend_link_s,total_compile_s,min_run_s,avg_run_s,runs_s
none,base,8,0,0,195832,181446,3.458,0.000,0.000,2.820,6.278,1.975,2.082,"2.073;2.198;2.026;1.975;2.228;1.978;2.189;2.068;2.070;2.109;2.046;2.189;1.995;1.981;2.058;2.003;2.225;1.999;2.061;2.178"
none,base,64,0,0,195832,181446,3.458,0.000,0.000,2.820,6.278,15.770,15.903,"15.966;16.089;15.773;15.830;16.064;16.233;15.888;15.796;16.174;15.797;15.871;16.008;15.787;15.871;15.875;15.770;15.800;15.840;15.794;15.832"
none,base,256,0,0,195832,181446,3.458,0.000,0.000,2.820,6.278,63.050,63.812,"64.030;63.380;63.367;63.084;63.268;63.239;63.196;63.050;63.301;63.377;63.060;63.231;73.186;63.354;63.850;63.212;63.265;63.123;63.055;63.615"
both,base,8,1298,1298,208120,192094,3.505,0.000,0.000,2.278,5.783,2.072,2.183,"2.328;2.091;2.074;2.098;2.168;2.102;2.262;2.255;2.133;2.295;2.122;2.107;2.077;2.253;2.138;2.273;2.323;2.162;2.325;2.072"
both,base,64,1298,1298,208120,192094,3.505,0.000,0.000,2.278,5.783,16.567,16.738,"16.826;16.707;16.733;16.701;16.686;16.718;16.807;16.678;16.694;17.058;16.926;16.976;16.756;16.592;16.815;16.712;16.596;16.567;16.628;16.577"
both,base,256,1298,1298,208120,192094,3.505,0.000,0.000,2.278,5.783,66.174,66.774,"66.667;66.193;66.687;66.373;67.294;66.274;66.174;66.869;66.532;67.213;67.165;66.356;66.897;67.281;66.432;67.143;66.808;66.878;67.218;67.022"
both,base2x,8,1298,1296,212216,197286,3.505,0.000,2.423,2.342,8.270,2.055,2.137,"2.186;2.063;2.334;2.182;2.073;2.059;2.173;2.064;2.125;2.059;2.242;2.077;2.105;2.190;2.116;2.055;2.078;2.175;2.058;2.322"
both,base2x,64,1298,1296,212216,197286,3.505,0.000,2.423,2.342,8.270,16.434,16.596,"16.621;16.494;16.459;16.777;16.464;16.905;16.575;16.712;16.511;16.598;16.492;16.434;16.451;16.693;16.678;16.592;16.457;16.831;16.656;16.530"
both,base2x,256,1298,1296,212216,197286,3.505,0.000,2.423,2.342,8.270,65.563,66.103,"65.876;65.854;66.054;66.197;65.901;65.563;66.326;65.649;66.753;66.162;65.711;65.955;68.316;66.042;66.760;65.786;65.920;65.588;65.810;65.831"
both,oracle,8,1298,1156,212216,196278,3.505,129.236,2.201,2.320,137.262,2.055,2.189,"2.215;2.169;2.209;2.075;2.313;2.055;2.091;2.249;2.068;2.082;2.308;2.321;2.076;2.151;2.317;2.186;2.183;2.275;2.229;2.206"
both,oracle,64,1298,1156,212216,196278,3.505,129.236,2.201,2.320,137.262,16.420,16.635,"16.859;16.563;16.572;16.478;16.454;16.552;16.958;16.420;17.221;16.468;16.658;16.647;16.622;16.438;16.853;16.518;16.475;16.494;16.766;16.678"
both,oracle,256,1298,1156,212216,196278,3.505,129.236,2.201,2.320,137.262,65.619,66.112,"66.263;65.673;65.819;66.021;65.619;65.800;66.236;65.835;65.992;66.268;66.200;65.925;66.268;66.374;66.737;66.846;66.297;66.033;66.128;65.916"
anf,base,8,1385,1385,212360,197734,3.829,0.000,0.000,2.345,6.174,2.075,2.183,"2.091;2.086;2.088;2.180;2.195;2.104;2.075;2.169;2.126;2.102;2.160;2.219;2.180;2.170;2.354;2.335;2.331;2.239;2.097;2.351"
anf,base,64,1385,1385,212360,197734,3.829,0.000,0.000,2.345,6.174,16.578,16.764,"16.584;16.756;16.601;16.719;17.033;16.813;16.668;16.661;16.979;16.735;16.603;16.578;16.898;16.665;16.764;16.685;16.983;16.756;17.209;16.591"
anf,base,256,1385,1385,212360,197734,3.829,0.000,0.000,2.345,6.174,66.362,66.917,"67.170;66.925;67.124;67.176;66.394;66.396;66.956;66.811;67.782;66.656;66.944;66.362;67.830;66.838;66.470;66.902;67.054;66.741;66.674;67.129"
anf,base2x,8,1385,1372,220552,204878,3.829,0.000,2.369,2.459,8.657,2.066,2.190,"2.133;2.109;2.130;2.066;2.067;2.315;2.111;2.230;2.325;2.102;2.127;2.211;2.132;2.292;2.332;2.202;2.105;2.321;2.378;2.106"
anf,base2x,64,1385,1372,220552,204878,3.829,0.000,2.369,2.459,8.657,16.483,16.700,"16.610;16.555;16.483;16.592;16.704;16.486;16.614;16.629;17.650;16.495;16.615;16.647;16.782;16.652;16.891;16.603;16.737;16.668;16.590;16.995"
anf,base2x,256,1385,1372,220552,204878,3.829,0.000,2.369,2.459,8.657,65.898,66.581,"66.455;65.898;66.495;66.238;66.657;66.107;66.525;66.454;66.811;69.412;67.700;66.072;66.216;66.108;66.082;66.126;66.476;66.272;66.565;66.959"
anf,oracle,8,1385,1228,216456,202414,3.829,179.314,2.344,2.400,187.887,2.063,2.116,"2.069;2.088;2.238;2.064;2.090;2.063;2.081;2.074;2.159;2.069;2.087;2.122;2.099;2.111;2.150;2.072;2.139;2.335;2.114;2.094"
anf,oracle,64,1385,1228,216456,202414,3.829,179.314,2.344,2.400,187.887,16.468,16.718,"16.568;16.917;16.671;16.652;16.964;16.988;16.676;16.557;16.644;17.479;16.553;16.599;16.468;16.541;16.632;16.524;16.961;16.787;16.531;16.640"
anf,oracle,256,1385,1228,216456,202414,3.829,179.314,2.344,2.400,187.887,65.893,66.377,"65.944;66.736;66.995;66.118;65.893;66.459;65.934;66.713;66.033;66.781;66.090;66.599;66.423;66.057;66.608;65.904;66.562;66.628;66.698;66.366"
